cluster_id,method_name
0,restoreLanguage
0,setupCurrentBaseURI
0,getRelativeBaseURI
0,getIncludeParentLanguage
0,unparsedEntityDecl
0,processXMLBaseAttributes
0,setDTDSource
0,addUnparsedEntity
0,getDocumentHandler
0,getState
0,sameBaseURIAsIncludeParent
0,endAttlist
0,startDTD
0,scopeOfBaseURI
0,searchForRecursiveIncludes
0,checkWhitespace
0,startConditional
0,ignorableWhitespace
0,processXMLLangAttributes
0,isValidInHTTPHeader
0,getBaseURI
0,saveBaseURI
0,isIncludeElement
0,getFeatureDefault
0,addNotation
0,processingInstruction
0,setParent
0,getSawInclude
0,attributeDecl
0,externalEntityDecl
0,getRelativeURI
0,setDocumentSource
0,reportResourceError
0,xmlDecl
0,reportFatalError
0,doctypeDecl
0,sameLanguageAsIncludeParent
0,saveLanguage
0,startCDATA
0,isRootDocument
0,startGeneralEntity
0,getLanguage
0,endGeneralEntity
0,getDTDHandler
0,internalEntityDecl
0,copyFeatures1
0,elementDecl
0,endDTD
0,getDocumentSource
0,restoreBaseURI
0,startAttlist
0,textDecl
0,startExternalSubset
0,isTopLevelIncludedItemViaInclude
0,notationDecl
0,getDTDSource
0,isFallbackElement
0,setRootElementProcessed
0,endExternalSubset
0,getRecognizedProperties
0,setState
0,checkMultipleRootElements
0,setHref
0,setSawFallback
0,getResultDepth
0,characters
0,ignoredCharacters
0,setErrorReporter
0,endConditional
0,createInputSource
0,setFeature
0,endDocument
0,copyFeatures
0,hasXIncludeNamespace
0,setDTDHandler
0,endParameterEntity
0,setXIncludeLocator
0,setSawInclude
0,checkNotation
0,checkUnparsedEntity
0,checkAndSendNotation
0,processAttributes
0,endCDATA
0,getRecognizedFeatures
0,checkAndSendUnparsedEntity
0,modifyAugmentations
0,isTopLevelIncludedItemViaFallback
0,startParameterEntity
0,isEqual
0,reportError
0,getRootElementProcessed
0,setDocumentHandler
0,escapeHref
0,getIncludeParentDepth
0,isTopLevelIncludedItem
0,comment
0,scopeOfLanguage
0,getPropertyDefault
0,getIncludeParentBaseURI
0,getSawFallback
1,endElement
1,emptyElement
1,handleFallbackElement
1,startElement
2,setProperty
3,reset
4,startDocument
5,handleIncludeElement
